date,description,amount,category
2025-01-02,Salary Deposit,85000.00,Salary & Income
2025-01-03,Big Bazaar Grocery,-3245.00,Food & Dining
2025-01-05,Netflix Subscription,-649.00,Entertainment
2025-01-06,Indian Oil Petrol,-2850.00,Transportation
2025-01-08,Amazon India Purchase,-4599.00,Shopping
2025-01-10,MSEB Electricity Bill,-2450.00,Bills & Utilities
2025-01-12,Ola Cab Ride,-385.00,Transportation
2025-01-14,Cafe Coffee Day,-275.00,Food & Dining
2025-01-15,Spotify Premium,-119.00,Entertainment
2025-01-17,Apollo Pharmacy,-890.00,Healthcare
2025-01-20,Restaurant Dinner,-1850.00,Food & Dining
2025-01-22,Jio Fiber Internet,-999.00,Bills & Utilities
2025-01-25,Flipkart Shopping,-5670.00,Shopping
2025-01-28,Cult.fit Gym,-1500.00,Healthcare
2025-02-01,Salary Deposit,85000.00,Salary & Income
2025-02-03,DMart Grocery,-2980.00,Food & Dining
2025-02-05,Netflix Subscription,-649.00,Entertainment
2025-02-06,BPCL Petrol,-2650.00,Transportation
2025-02-08,Amazon India Purchase,-3899.00,Shopping
2025-02-10,MSEB Electricity Bill,-2380.00,Bills & Utilities
2025-02-12,Rapido Ride,-420.00,Transportation
2025-02-14,Valentine Dinner,-3200.00,Food & Dining
2025-02-15,Spotify Premium,-119.00,Entertainment
2025-02-18,Water Bill,-650.00,Bills & Utilities
2025-02-20,Myntra Shopping,-4250.00,Shopping
2025-02-25,Cult.fit Gym,-1500.00,Healthcare
2025-03-01,Salary Deposit,85000.00,Salary & Income
2025-03-03,Reliance Fresh Grocery,-2150.00,Food & Dining
2025-03-05,Netflix Subscription,-649.00,Entertainment
2025-03-07,HP Petrol Pump,-3100.00,Transportation
2025-03-10,MSEB Electricity Bill,-2520.00,Bills & Utilities
2025-03-12,Flipkart Purchase,-2899.00,Shopping
2025-03-15,Spotify Premium,-119.00,Entertainment
2025-03-18,Swiggy Lunch Order,-485.00,Food & Dining
2025-03-20,Jio Fiber Internet,-999.00,Bills & Utilities
2025-03-22,Uber Auto Ride,-165.00,Transportation
2025-03-25,Cult.fit Gym,-1500.00,Healthcare
2025-03-28,Freelance Payment,15000.00,Salary & Income
